[69, 2.25, 2.25, 1.107e-12, 2.59e-13, 1.46e-13]
[70, 2.25, 2.75, 8.64e-13, 3.05e-13, 1.6e-13]
[71, 2.25, 3.25, 6.81e-13, 3.65e-13, 1.75e-13]
[72, 2.25, 3.75, 5.45e-13, 4.43e-13, 1.91e-13]
[73, 2.25, 4.25, 4.43e-13, 5.45e-13, 2.08e-13]
[74, 2.25, 4.75, 3.65e-13, 6.81e-13, 2.26e-13]
[75, 2.25, 5.25, 3.05e-13, 8.64e-13, 2.43e-13]
[76, 2.25, 5.75, 2.59e-13, 1.107e-12, 2.59e-13]
[77, 2.25, 6.25, 2.21e-13, 1.417e-12, 2.72e-13]
[78, 2.25, 6.75, 1.91e-13, 1.771e-12, 2.83e-13]
[79, 2.25, 7.25, 1.67e-13, 2.083e-12, 2.9e-13]
[80, 2.25, 7.75, 1.47e-13, 2.214e-12, 2.93e-13]
[81, 2.75, 0.25, 1.417e-12, 1.42e-13, 1.09e-13]
[82, 2.75, 0.75, 1.362e-12, 1.6e-13, 1.2e-13]
[83, 2.75, 1.25, 1.221e-12, 1.83e-13, 1.32e-13]
[84, 2.75, 1.75, 1.042e-12, 2.1e-13, 1.45e-13]
[85, 2.75, 2.25, 8.64e-13, 2.43e-13, 1.6e-13]
[86, 2.75, 2.75, 7.08e-13, 2.83e-13, 1.77e-13]
[87, 2.75, 3.25, 5.81e-13, 3.34e-13, 1.96e-13]
[88, 2.75, 3.75, 4.79e-13, 3.98e-13, 2.16e-13]
[89, 2.75, 4.25, 3.98e-13, 4.79e-13, 2.38e-13]
[90, 2.75, 4.75, 3.34e-13, 5.81e-13, 2.6e-13]
[91, 2.75, 5.25, 2.83e-13, 7.08e-13, 2.83e-13]
[92, 2.75, 5.75, 2.43e-13, 8.64e-13, 3.05e-13]
[93, 2.75, 6.25, 2.1e-13, 1.042e-12, 3.25e-13]
[94, 2.75, 6.75, 1.83e-13, 1.221e-12, 3.41e-13]
[95, 2.75, 7.25, 1.6e-13, 1.362e-12, 3.51e-13]
